availability,size,total_sqft,bath,balcony,price,location
Ready To Move,2 BHK,1315,2,2,144,Kathmandu
19-Dec,4 BHK,3067,4,3,368,Kathmandu
Ready To Move,2 BHK,1210,2,2,115.2,Lalitpur
Ready To Move,3 BHK,1075,2,1,75.2,Lalitpur
Ready To Move,6 BHK,11338,9,1,1600,Lalitpur
18-May,3 BHK,1215,3,1,67.52,Bhaktapur
Ready To Move,3 BHK,1470,2,2,120,Bhaktapur
18-Jul,4 Bedroom,30000,4,,3360,Lalitpur
Ready To Move,3 BHK,1590,2,2,200,Bhaktapur
Ready To Move,2 BHK,1050,2,1,58.8,Bhaktapur
Ready To Move,2 BHK,1306,2,1,89.456,Bhaktapur
Ready To Move,3 BHK,2000,3,2,400,Kathmandu
Ready To Move,3 BHK,1445,3,2,102.4,Bhaktapur
Ready To Move,3 BHK,1220,3,2,92.8,Bhaktapur
Ready To Move,4 Bedroom,3190,3,1,256,Bhaktapur
18-May,2 BHK,1215,2,1,82.016,Bhaktapur
Ready To Move,3 BHK,1920,2,1,140.8,Lalitpur
Ready To Move,2 BHK,1390,2,2,96,Bhaktapur
Ready To Move,3 Bedroom,800,2,1,120,Kathmandu
Ready To Move,3 Bedroom,600,3,2,160,Lalitpur
21-Jul,2 BHK,1196,2,0,114.784,Kathmandu
Ready To Move,3 BHK,1550,2,2,120,Bhaktapur
Ready To Move,2 BHK,1418,2,2,161.6,Kathmandu
19-Mar,3 BHK,1655,3,2,184,Lalitpur
Ready To Move,2 BHK,1115,2,2,53.52,Kathmandu
Ready To Move,2 BHK,1170,2,2,108.8,Bhaktapur
Ready To Move,2 BHK,1035,2,2,61.28,Kathmandu
Ready To Move,3 BHK,1306,2,2,92.8,Bhaktapur
18-Dec,2 BHK,750,2,2,35.2,Lalitpur
Ready To Move,3 BHK,1917,3,3,195.2,Kathmandu
Ready To Move,3 BHK,1615,3,3,92.8,Lalitpur
Ready To Move,2 BHK,1071,2,2,83.6,Bhaktapur
Ready To Move,2 BHK,1325,2,2,190.4,Bhaktapur
Ready To Move,7 Bedroom,3000,4,2,1440,Lalitpur
Ready To Move,3 BHK,1400,2,1,140.8,Lalitpur
21-Jan,2 BHK,1246,2,1,131.2,Kathmandu
Ready To Move,2 BHK,1215,2,0,64,Bhaktapur
Ready To Move,2 BHK,1200,2,2,79.2,Kathmandu
Ready To Move,4 Bedroom,450,3,1,84.8,Lalitpur
Ready To Move,2 BHK,1200,2,2,96,Bhaktapur
Ready To Move,2 BHK,945,2,2,80,Bhaktapur
Ready To Move,4 BHK,4460,5,,1040,Lalitpur
Ready To Move,2 BHK,1175,2,1,83.2,Kathmandu
Ready To Move,2 BHK,920,2,1,100.8,Bhaktapur
Ready To Move,4 BHK,3024,5,1,560,Lalitpur
Ready To Move,2 Bedroom,1600,2,2,176,Lalitpur
Ready To Move,4 Bedroom,750,2,0,176,Lalitpur
Ready To Move,4 Bedroom,2400,4,,1120,Kathmandu
Ready To Move,2 BHK,955,1,2,54.416,Lalitpur
Ready To Move,3 BHK,1750,3,3,160,Kathmandu
Ready To Move,3 BHK,1425,2,2,102.4,Kathmandu
Ready To Move,3 BHK,2150,3,2,424,Kathmandu
20-Dec,2 BHK,1165,2,1,64.8,Lalitpur
Ready To Move,2 BHK,1050,2,2,76.8,Kathmandu
Ready To Move,3 BHK,1370,2,2,120,Bhaktapur
18-Apr,3 BHK,1374,2,1,115.2,Lalitpur
Ready To Move,3 BHK,1754,3,2,198.4,Lalitpur
Ready To Move,3 BHK,1847,3,2,176,Kathmandu
Ready To Move,3 BHK,1850,4,3,222.4,Lalitpur
18-May,3 Bedroom,3297,3,1,216,Lalitpur
Ready To Move,2 BHK,1187,2,2,72,Lalitpur
18-Dec,3 BHK,1400,2,1,64.704,Kathmandu
Ready To Move,3 Bedroom,600,2,0,48,Lalitpur
Ready To Move,2 BHK,1350,2,3,288,Kathmandu
Ready To Move,3 Bedroom,3000,2,2,192,Kathmandu
21-Dec,1 BHK,693,1,1,54.88,Kathmandu
21-May,3 BHK,1980,3,2,358.4,Kathmandu
Ready To Move,2 BHK,1021,2,1,76.8,Lalitpur
Ready To Move,2 BHK,1165,2,2,152,Lalitpur
19-Mar,3 BHK,1756,3,2,147.2,Bhaktapur
Ready To Move,3 BHK,1739,3,1,168,Lalitpur
Ready To Move,2 BHK,1280,2,,104,Kathmandu
Ready To Move,2 BHK,1215,2,2,94.176,Lalitpur
18-Apr,2 BHK,950,2,1,74.4,Lalitpur
Ready To Move,3 BHK,1082,2,1,78.4,Bhaktapur
Ready To Move,2 BHK,1050,2,1,67.2,Kathmandu
Ready To Move,2 BHK,1080,2,0,85.36,Bhaktapur
Ready To Move,2 BHK,1100,2,2,88,Lalitpur
Ready To Move,4 Bedroom,3200,4,1,328,Kathmandu
Ready To Move,2 BHK,1311,2,1,124.8,Bhaktapur
Ready To Move,3 BHK,1608,3,1,108.768,Lalitpur
Ready To Move,2 BHK,1160,2,2,57.6,Lalitpur
Ready To Move,2 BHK,1170,2,1,113.6,Lalitpur
Ready To Move,2 BHK,1155,2,2,64.96,Bhaktapur
18-Dec,3 BHK,1255,2,1,124.288,Lalitpur
Ready To Move,2 BHK,1065,2,2,71.92,Lalitpur
Ready To Move,1 BHK,674,1,1,33.6,Kathmandu
Ready To Move,3 BHK,1936,4,2,201.6,Lalitpur
18-Dec,3 BHK,2289,3,2,416,Lalitpur
Ready To Move,2 BHK,1100,2,1,61.52,Kathmandu
Ready To Move,3 BHK,2257,4,2,251.2,Lalitpur
Ready To Move,2 BHK,1055,2,2,88,Bhaktapur
Ready To Move,3 BHK,1530,3,3,82.992,Lalitpur
Ready To Move,3 BHK,1700,3,1,155.2,Bhaktapur
Ready To Move,3 BHK,1575,2,2,124.8,Kathmandu
Ready To Move,3 BHK,3500,4,2,528,Kathmandu
Ready To Move,2 BHK,1263,2,1,149.312,Kathmandu
Ready To Move,3 BHK,1255 - 1863,3,0,110.904,Bhaktapur
Ready To Move,2 BHK,1043,2,2,104,Kathmandu
Ready To Move,2 BHK,1255,2,2,85.6,Lalitpur
18-Mar,2 BHK,1300 - 1405,2,0,150.184,Bhaktapur
18-Dec,1 BHK,590,1,0,21.712,Kathmandu
Ready To Move,3 Bedroom,1550,3,1,192,Lalitpur
Ready To Move,3 BHK,1220,3,3,89.6,Bhaktapur
Ready To Move,3 BHK,1900,3,3,256,Bhaktapur
Ready To Move,3 BHK,1360,3,3,88,Kathmandu
Ready To Move,2 BHK,1100,2,1,120,Kathmandu
20-Mar,3 BHK,1455,3,2,117.296,Kathmandu
Ready To Move,2 BHK,1035,2,1,64.8,Lalitpur
Ready To Move,2 BHK,1152,2,2,110.4,Lalitpur
Ready To Move,2 BHK,1299,2,2,131.2,Bhaktapur
18-Nov,3 BHK,1157,2,1,120,Bhaktapur
Ready To Move,2 BHK,1050,2,2,84,Lalitpur
Ready To Move,2 BHK,1050,2,2,64,Lalitpur
Ready To Move,2 BHK,1246,2,1,107.84,Lalitpur
Ready To Move,3 BHK,1929,3,2,184,Bhaktapur
Ready To Move,2 BHK,1285,2,1,96,Lalitpur
Ready To Move,3 Bedroom,1200,2,0,104,Lalitpur
Ready To Move,4 BHK,3161,4,3,342.4,Lalitpur
Ready To Move,3 BHK,1850,3,,272,Kathmandu
Ready To Move,3 BHK,1025,2,0,59.2,Bhaktapur
Ready To Move,2 BHK,1124,3,2,128,Bhaktapur
19-Dec,2 BHK,1012,2,1,87.344,Bhaktapur
Ready To Move,7 BHK,4500,5,3,400,Bhaktapur
Ready To Move,2 BHK,871,2,2,88,Lalitpur
Ready To Move,2 BHK,1020,2,2,64,Lalitpur
Ready To Move,3 BHK,1550,3,3,117.6,Kathmandu
Ready To Move,3 Bedroom,3515,3,1,672,Bhaktapur
Ready To Move,3 BHK,1410,2,2,128,Lalitpur
18-Dec,4 Bedroom,3500,5,3,240,Lalitpur
18-Apr,2 BHK,1118,2,1,120,Bhaktapur
Ready To Move,2 BHK,1098,2,1,108.8,Lalitpur
Ready To Move,2 BHK,1130,2,1,72.32,Bhaktapur
Ready To Move,2 BHK,1145,2,2,120,Bhaktapur
Ready To Move,3 Bedroom,950,3,1,128,Bhaktapur
Ready To Move,2 BHK,1051,2,1,52.8,Lalitpur
Ready To Move,7 Bedroom,600,7,,172.8,Lalitpur
18-Apr,2 BHK,1102,2,2,85.872,Bhaktapur
Ready To Move,2 BHK,1478,2,2,200,Lalitpur
18-Aug,1 BHK,645,1,1,26.32,Kathmandu
18-Dec,2 BHK,823,2,1,81.008,Bhaktapur
21-Dec,2 BHK,880,2,1,56,Kathmandu
Ready To Move,4 Bedroom,600,5,2,120,Kathmandu
Ready To Move,3 BHK,1991,4,2,160,Lalitpur
Ready To Move,3 BHK,1100,3,1,80,Lalitpur
Ready To Move,3 BHK,1745,3,2,184,Kathmandu
17-Sep,2 BHK,1226,3,1,216,Lalitpur
Ready To Move,3 Bedroom,680,4,1,108.8,Bhaktapur
Ready To Move,2 BHK,1100,2,1,112,Bhaktapur
Ready To Move,4 Bedroom,1200,4,3,312,Lalitpur
Ready To Move,2 BHK,1450,2,1,92.8,Lalitpur
Ready To Move,4 BHK,3366,4,,192,Kathmandu
Ready To Move,2 BHK,1150,2,1,86.4,Bhaktapur
Ready To Move,3 BHK,1843,3,2,153.344,Bhaktapur
Ready To Move,4 Bedroom,2200,4,2,312,Bhaktapur
Ready To Move,2 BHK,1090,3,2,70.4,Kathmandu
Ready To Move,2 BHK,1132,2,2,67.2,Kathmandu
Ready To Move,2 BHK,1375,2,2,128,Kathmandu
Ready To Move,4 Bedroom,1500,5,3,352,Lalitpur
Ready To Move,1 BHK,760,1,2,80.48,Kathmandu
Ready To Move,2 BHK,1180,2,2,104,Bhaktapur
Ready To Move,2 BHK,918,2,2,72,Bhaktapur
Ready To Move,5 Bedroom,600,5,,80,Bhaktapur
Ready To Move,2 Bedroom,1200,1,0,84.8,Kathmandu
Ready To Move,2 BHK,1372,2,1,97.6,Bhaktapur
Ready To Move,7 Bedroom,2400,7,3,568,Kathmandu
Ready To Move,3 BHK,1728,3,2,152,Bhaktapur
Ready To Move,3 BHK,2215,3,1,440,Lalitpur
Ready To Move,2 BHK,1200,2,2,128,Lalitpur
Ready To Move,2 BHK,1280,2,,89.6,Kathmandu
Ready To Move,4 Bedroom,800,4,,176,Lalitpur
Ready To Move,3 BHK,1455,2,2,89.6,Kathmandu
20-Aug,1 RK,440,1,0,44.8,Kathmandu
Ready To Move,3 Bedroom,1500,3,2,155.2,Bhaktapur
Ready To Move,3 BHK,1800,3,,176,Lalitpur
Ready To Move,3 BHK,1525,3,2,153.6,Bhaktapur
Ready To Move,2 BHK,1204,2,3,61.6,Bhaktapur
19-Dec,2 BHK,1225,2,1,85.68,Kathmandu
Ready To Move,6 Bedroom,800,6,3,156.8,Kathmandu
Ready To Move,3 BHK,1650,3,,195.2,Kathmandu
Ready To Move,3 BHK,880,2,1,28.8,Bhaktapur
Ready To Move,4 Bedroom,4200,4,2,408,Kathmandu
Ready To Move,2 Bedroom,1200,2,0,88,Lalitpur
Ready To Move,4 Bedroom,1152,4,1,368,Bhaktapur
Ready To Move,2 BHK,1005,2,1,67.2,Bhaktapur
20-Dec,3 BHK,1562,3,2,164.8,Bhaktapur
Ready To Move,4 Bedroom,5000,5,2,632,Lalitpur
Ready To Move,6 Bedroom,810,5,2,152,Kathmandu
Ready To Move,2 BHK,1200,2,3,67.2,Bhaktapur
Ready To Move,3 BHK,1555,3,2,132,Bhaktapur
Ready To Move,2 Bedroom,1550,2,1,113.6,Kathmandu
Ready To Move,2 BHK,1190,2,2,107.2,Kathmandu
Ready To Move,2 BHK,1070,2,2,80,Kathmandu
Immediate Possession,,1200 - 2400,,,46.056,Kathmandu
Ready To Move,2 BHK,1020,2,1,67.968,Lalitpur
Ready To Move,3 BHK,1610,3,1,184,Bhaktapur
Ready To Move,1 BHK,700,1,1,65.6,Kathmandu
Ready To Move,3 BHK,1300,2,1,78.4,Lalitpur
Ready To Move,2 BHK,1420,2,1,196.8,Bhaktapur
Ready To Move,9 Bedroom,1200,9,2,160,Bhaktapur
18-Dec,3 BHK,1069,3,2,104.64,Kathmandu
Ready To Move,3 BHK,1900,3,3,196.8,Bhaktapur
18-May,2 BHK,1655,2,1,156.24,Kathmandu
Ready To Move,2 BHK,1155,2,2,64.672,Kathmandu
Ready To Move,3 BHK,1300,2,2,112,Bhaktapur
Ready To Move,2 BHK,1100,2,2,72,Lalitpur
Ready To Move,2 BHK,1030,2,2,67.2,Lalitpur
Ready To Move,2 BHK,2105,2,1,112.32,Kathmandu
Ready To Move,3 BHK,1700,3,2,201.6,Kathmandu
Ready To Move,3 BHK,1760,3,2,222.4,Kathmandu
Ready To Move,9 Bedroom,6200,9,0,320,Lalitpur
Ready To Move,2 BHK,1400,2,1,107.2,Kathmandu
Ready To Move,2 BHK,1200,2,0,84.8,Bhaktapur
Ready To Move,2 BHK,912,2,1,88,Lalitpur
Ready To Move,2 BHK,1102,2,1,76.8,Bhaktapur
Ready To Move,3 BHK,1535,3,1,88,Bhaktapur
Ready To Move,2 BHK,1243,2,2,73.6,Bhaktapur
Ready To Move,2 BHK,918,2,2,101.12,Kathmandu
Ready To Move,3 BHK,1500,2,3,112,Lalitpur
Ready To Move,3 Bedroom,3000,3,0,400,Bhaktapur
Ready To Move,3 BHK,1476,3,0,142.4,Bhaktapur
18-Apr,2 BHK,1200,2,3,104,Kathmandu
21-Jun,1 BHK,606,1,0,55.648,Bhaktapur
Ready To Move,2 BHK,1100,2,3,97.6,Kathmandu
Ready To Move,3 BHK,1295,2,1,95.2,Kathmandu
Ready To Move,1 BHK,527,1,0,41.6,Lalitpur
Ready To Move,2 BHK,1300,2,2,128,Kathmandu
Ready To Move,3 Bedroom,680,4,1,108.8,Bhaktapur
Ready To Move,1 Bedroom,1260,1,0,65.6,Lalitpur
Ready To Move,2 BHK,1140,2,1,120.32,Kathmandu
Ready To Move,1 Bedroom,1500,1,0,60,Kathmandu
18-Dec,3 BHK,2321,4,1,204.8,Bhaktapur
Ready To Move,2 BHK,1390,2,2,99.2,Kathmandu
Ready To Move,3 BHK,1725,3,3,144,Bhaktapur
18-May,4 BHK,3067,4,1,496,Kathmandu
18-Mar,3 BHK,1186,2,1,100.8,Bhaktapur
18-Dec,2 BHK,1230,2,1,136,Bhaktapur
Ready To Move,1 BHK,600,1,1,27.2,Kathmandu
18-Dec,3 BHK,1313,3,1,153.6,Kathmandu
Ready To Move,2 Bedroom,900,2,0,88,Bhaktapur
Ready To Move,2 BHK,1250,2,2,106,Bhaktapur
Ready To Move,9 Bedroom,1200,6,3,448,Bhaktapur
19-Dec,1 BHK,660,1,1,86.4,Bhaktapur
Ready To Move,2 BHK,1036,2,2,168,Lalitpur
Ready To Move,4 BHK,2700,4,3,720,Lalitpur
Ready To Move,2 BHK,1100,2,1,112,Kathmandu
Immediate Possession,,1500 - 2400,,,74.88,Bhaktapur
Ready To Move,4 Bedroom,1500,2,1,720,Kathmandu
Ready To Move,4 Bedroom,525,5,2,89.6,Bhaktapur
Ready To Move,2 BHK,1015,2,1,89.6,Kathmandu
Ready To Move,1 Bedroom,812,1,0,41.6,Kathmandu
Ready To Move,3 BHK,1360,2,2,104,Lalitpur
Ready To Move,3 BHK,2167,3,3,272,Bhaktapur
Ready To Move,2 BHK,1200,2,1,56,Bhaktapur
Ready To Move,2 BHK,1165,2,2,120,Lalitpur
Ready To Move,2 BHK,1274,2,2,112,Lalitpur
Ready To Move,2 BHK,1151,2,2,62.432,Kathmandu
Ready To Move,6 Bedroom,1060,6,3,176,Bhaktapur
Ready To Move,3 BHK,1626,2,2,192,Kathmandu
Ready To Move,2 BHK,1035,2,2,57.232,Lalitpur
Ready To Move,3 Bedroom,1272,4,0,120,Lalitpur
Ready To Move,2 BHK,965,2,1,72,Bhaktapur
Ready To Move,5 Bedroom,1600,5,2,224,Kathmandu
Ready To Move,2 BHK,1070,2,1,68.464,Lalitpur
Ready To Move,3 BHK,1570,2,2,104,Kathmandu
Ready To Move,2 BHK,117Sq. Yards,2,2,60.8,Lalitpur
Ready To Move,2 BHK,780,2,2,40,Kathmandu
Ready To Move,3 BHK,1000,2,1,104,Lalitpur
Ready To Move,4 Bedroom,1200,3,2,300.8,Kathmandu
Ready To Move,7 Bedroom,7500,7,2,640,Lalitpur
Ready To Move,3 BHK,1700,2,3,160,Lalitpur
Ready To Move,3 BHK,1850,3,,176,Bhaktapur
Ready To Move,2 BHK,904,2,1,48,Bhaktapur
Ready To Move,2 BHK,1121,2,1,69.952,Lalitpur
Ready To Move,3 BHK,1385,2,2,93.072,Bhaktapur
Ready To Move,2 BHK,1270,2,1,111.76,Bhaktapur
Ready To Move,3 BHK,1450,3,3,89.6,Lalitpur
Ready To Move,3 Bedroom,2400,4,2,520,Lalitpur
Ready To Move,1 BHK,730,1,1,56,Bhaktapur
Ready To Move,3 BHK,1580,3,3,85.696,Lalitpur
Ready To Move,2 BHK,1111,2,1,80,Kathmandu
Ready To Move,4 Bedroom,1125,2,1,140.8,Lalitpur
Ready To Move,2 BHK,977,2,2,57.6,Lalitpur
18-Dec,2 BHK,674,1,1,31.84,Bhaktapur
18-Apr,3 Bedroom,600,3,1,132.8,Bhaktapur
Ready To Move,4 Bedroom,2540,4,1,184,Bhaktapur
17-Dec,2 BHK,1290,2,1,160,Bhaktapur
Ready To Move,3 Bedroom,600,3,1,156.8,Kathmandu
Ready To Move,2 BHK,795,2,1,52.064,Bhaktapur
20-Dec,2 BHK,700,1,1,56,Bhaktapur
Ready To Move,2 BHK,1463,1,1,227.2,Lalitpur
Ready To Move,3 Bedroom,1000,3,0,224,Lalitpur
Ready To Move,3 BHK,1306,2,2,92.8,Bhaktapur
Ready To Move,3 BHK,2401,3,2,296,Bhaktapur
Ready To Move,4 Bedroom,1670,3,0,216,Kathmandu
Ready To Move,3 BHK,1875,2,3,376,Bhaktapur
Ready To Move,3 Bedroom,1200,3,1,144,Bhaktapur
Ready To Move,3 BHK,1804,3,2,193.6,Kathmandu
Ready To Move,3 BHK,2065,4,1,336,Bhaktapur
Ready To Move,3 BHK,1225,3,1,64,Bhaktapur
18-Nov,2 BHK,934 - 1437,2,0,93.888,Bhaktapur
Ready To Move,2 BHK,900,2,2,89.6,Kathmandu
19-Dec,2 BHK,1350,2,1,145.6,Lalitpur
Ready To Move,1 BHK,700,1,0,57.6,Kathmandu
18-Jun,2 BHK,980 - 1030,2,0,56.28,Lalitpur
Ready To Move,2 BHK,1160,2,1,74.224,Bhaktapur
Ready To Move,3 BHK,1680,3,,158.832,Kathmandu
Ready To Move,2 BHK,1043,2,2,88,Bhaktapur
Ready To Move,4 Bedroom,1200,4,1,192,Bhaktapur
Ready To Move,2 BHK,1040,2,2,73.6,Lalitpur
Ready To Move,3 BHK,1357,2,2,104,Kathmandu
Ready To Move,7 Bedroom,1600,7,1,166.4,Lalitpur
18-Aug,2 BHK,1225,2,2,75.2,Kathmandu
Ready To Move,9 Bedroom,1500,6,1,128,Kathmandu
Ready To Move,2 BHK,1130,2,2,64,Bhaktapur
Ready To Move,4 Bedroom,2500,4,1,240,Bhaktapur
Ready To Move,3 BHK,1700,3,3,192,Kathmandu
Ready To Move,3 BHK,1549,3,2,104,Bhaktapur
Ready To Move,2 BHK,1400,2,2,160,Kathmandu
Ready To Move,2 BHK,1080,2,2,80,Bhaktapur
Ready To Move,2 BHK,1180,2,2,160,Lalitpur
Ready To Move,7 Bedroom,780,7,3,240,Lalitpur
Ready To Move,3 BHK,1800,3,2,240,Bhaktapur
18-Aug,2 BHK,1225,2,1,107.808,Bhaktapur
Ready To Move,1 BHK,890,1,1,120,Kathmandu
Ready To Move,2 BHK,1005,2,1,63.344,Kathmandu
Ready To Move,2 BHK,1320,2,1,152,Kathmandu
Ready To Move,4 BHK,1475,2,1,80,Lalitpur
18-Dec,3 BHK,1564 - 1850,,,159.592,Kathmandu
Ready To Move,2 BHK,1110,2,2,81.6,Bhaktapur
18-Apr,2 Bedroom,1300,2,0,86.4,Bhaktapur
Ready To Move,5 Bedroom,600,3,1,137.6,Bhaktapur
18-Aug,2 BHK,1128,2,1,104.56,Kathmandu
22-May,2 BHK,1452.19,2,1,160,Bhaktapur
Ready To Move,3 Bedroom,2400,3,2,464,Lalitpur
18-Jul,3 BHK,2600,4,1,216,Lalitpur
Ready To Move,3 BHK,2500,4,2,520,Kathmandu
Ready To Move,2 BHK,630,1,1,56,Bhaktapur
Ready To Move,2 BHK,1243,2,2,77.6,Lalitpur
Ready To Move,2 BHK,960,2,2,51.2,Bhaktapur
Ready To Move,3 BHK,1690,3,2,160,Kathmandu
Ready To Move,2 BHK,735,2,1,56,Lalitpur
Ready To Move,2 BHK,1365,2,2,116.8,Bhaktapur
Ready To Move,5 BHK,2849,5,0,480,Kathmandu
Ready To Move,2 BHK,1420,2,1,159.024,Kathmandu
Ready To Move,3 BHK,1570,3,3,108.8,Kathmandu
Ready To Move,2 BHK,850,1,1,51.2,Kathmandu
Ready To Move,3 BHK,1575,2,2,176,Bhaktapur
Ready To Move,2 BHK,1418,2,2,166.4,Bhaktapur
Ready To Move,2 BHK,1050,2,1,67.2,Bhaktapur
Ready To Move,2 BHK,1065,2,1,68.16,Kathmandu
Ready To Move,3 BHK,1340,3,0,144,Lalitpur
Ready To Move,3 BHK,1610,3,2,147.2,Bhaktapur
18-Aug,2 BHK,1160,2,1,53.6,Kathmandu
Ready To Move,2 BHK,1092,2,2,70.4,Bhaktapur
Ready To Move,2 BHK,1194,2,2,75.2,Lalitpur
Ready To Move,3 BHK,1455,3,1,98.4,Lalitpur
18-Jun,1 BHK,734,1,0,31.712,Lalitpur
Ready To Move,2 BHK,799,2,1,60.8,Kathmandu
Ready To Move,3 BHK,1896,3,1,120,Lalitpur
Ready To Move,2 BHK,1100,2,1,76.8,Kathmandu
Ready To Move,2 BHK,1350,2,1,126.4,Kathmandu
Ready To Move,3 BHK,1355,3,1,97.6,Bhaktapur
18-Apr,2 BHK,1128,2,1,104,Lalitpur
Ready To Move,2 Bedroom,1350,2,0,144,Lalitpur
Ready To Move,3 BHK,3875,3,2,1382.4,Lalitpur
Ready To Move,3 BHK,1493,3,2,131.2,Kathmandu
Ready To Move,2 BHK,1098,2,1,70.256,Lalitpur
Ready To Move,3 BHK,1900,2,1,272,Kathmandu
Ready To Move,3 BHK,1460,3,2,140.8,Lalitpur
Ready To Move,3 BHK,2350,4,3,456,Lalitpur
Ready To Move,5 Bedroom,1600,5,3,224,Kathmandu
Ready To Move,2 BHK,1091,2,1,51.2,Bhaktapur
Ready To Move,2 BHK,1180,2,3,67.2,Lalitpur
19-Dec,2 BHK,1366,3,1,122.96,Bhaktapur
Ready To Move,3 BHK,1685,3,2,152,Bhaktapur
Ready To Move,2 BHK,1260,2,3,160,Kathmandu
Ready To Move,3 Bedroom,3010,3,2,320,Lalitpur
Ready To Move,3 Bedroom,1330,4,1,224,Lalitpur
Ready To Move,2 Bedroom,1200,2,0,208,Bhaktapur
18-Apr,2 BHK,1346,2,1,153.872,Bhaktapur
18-Aug,1 BHK,630,1,0,22.176,Lalitpur
19-May,3 BHK,1446 - 1506,,,158.304,Lalitpur
Ready To Move,3 BHK,1850,3,2,224,Bhaktapur
Ready To Move,5 Bedroom,2350,2,0,676.8,Bhaktapur
Ready To Move,2 BHK,755,1,1,54.4,Kathmandu
Ready To Move,5 Bedroom,800,5,2,156.8,Kathmandu
Ready To Move,2 BHK,1194,2,2,73.6,Kathmandu
18-Feb,3 BHK,3850,5,,505.6,Kathmandu
18-Jul,4 BHK,4235,4,2,584,Lalitpur
18-Apr,1 Bedroom,800,1,0,83.2,Kathmandu
Ready To Move,3 BHK,2250,3,1,312,Kathmandu
Ready To Move,2 BHK,1352,2,2,108.8,Bhaktapur
Ready To Move,3 BHK,2002,3,2,179.2,Kathmandu
Ready To Move,4 Bedroom,4000,5,1,448,Lalitpur
Ready To Move,2 BHK,1060,2,2,72,Kathmandu
Ready To Move,3 BHK,1419.59,2,1,94.4,Bhaktapur
Ready To Move,2 BHK,1196,2,2,81.84,Bhaktapur
18-Dec,3 BHK,1220,2,2,56.384,Bhaktapur
18-Apr,3 BHK,1595,3,2,120,Kathmandu
Ready To Move,2 BHK,1260,2,3,120,Lalitpur
Ready To Move,2 BHK,1100,2,2,75.2,Kathmandu
Ready To Move,2 BHK,1550,2,2,224,Kathmandu
Ready To Move,2 BHK,1180,2,3,83.2,Lalitpur
18-Dec,4 Bedroom,4000,5,1,240,Bhaktapur
Ready To Move,3 BHK,1662,3,2,136,Lalitpur
Ready To Move,2 BHK,1285,2,1,96,Kathmandu
Ready To Move,4 Bedroom,1080,4,1,120,Lalitpur
Ready To Move,3 BHK,1862,3,2,190.4,Lalitpur
Ready To Move,2 BHK,1419,2,2,76.8,Bhaktapur
14-Nov,3 BHK,1410,3,2,69.936,Kathmandu
Ready To Move,3 BHK,1560,2,2,99.84,Bhaktapur
Ready To Move,5 Bedroom,1100,4,3,240,Lalitpur
19-Nov,3 BHK,1634,3,3,124.8,Bhaktapur
Ready To Move,5 Bedroom,5530,5,3,1003.2,Bhaktapur
Ready To Move,3 BHK,1150,2,3,70.4,Bhaktapur
18-May,2 BHK,1100,2,,84.8,Bhaktapur
19-Mar,3 BHK,1616,3,1,104,Lalitpur
17-Dec,2 BHK,1392,2,1,158.4,Lalitpur
19-Dec,3 BHK,1798,3,1,192,Lalitpur
Ready To Move,3 BHK,1675,3,3,120,Kathmandu
Ready To Move,2 Bedroom,792,2,1,112,Lalitpur
Ready To Move,5 BHK,2000,4,1,164.8,Bhaktapur
Ready To Move,7 Bedroom,600,7,3,142.4,Kathmandu
19-Jun,3 BHK,1700,3,2,198.4,Bhaktapur
Ready To Move,2 BHK,1248,2,1,110.4,Bhaktapur
Ready To Move,2 BHK,1147,2,1,86.4,Lalitpur
Ready To Move,2 BHK,1100,2,2,64,Lalitpur
Ready To Move,3 BHK,1527,3,2,184,Kathmandu
Ready To Move,5 Bedroom,2400,5,2,376,Bhaktapur
21-Dec,1 BHK,525,1,1,40,Bhaktapur
Ready To Move,2 BHK,1100,2,3,92.8,Kathmandu
17-Dec,2 BHK,1118,2,2,60,Kathmandu
20-Dec,3 BHK,1476,3,1,120,Lalitpur
Ready To Move,3 BHK,2100,3,1,120,Kathmandu
18-Apr,3 BHK,1215,2,2,74.4,Lalitpur
Ready To Move,2 BHK,1332,2,1,126.4,Kathmandu
Ready To Move,2 BHK,1350,2,3,78.4,Bhaktapur
Ready To Move,4 Bedroom,600,4,1,129.6,Bhaktapur
Ready To Move,2 BHK,1243,2,2,73.6,Lalitpur
Ready To Move,2 BHK,1105,2,2,79.568,Lalitpur
Ready To Move,3 Bedroom,1500,2,1,320,Kathmandu
Ready To Move,2 BHK,1200,2,2,80,Kathmandu
18-Jun,2 BHK,1251,2,1,75.84,Bhaktapur
Ready To Move,2 BHK,883,2,1,72,Bhaktapur
Ready To Move,3 BHK,1400,2,3,107.2,Bhaktapur
Ready To Move,3 BHK,1800,3,3,416,Kathmandu
Ready To Move,3 BHK,1703,3,2,180.8,Bhaktapur
Ready To Move,5 BHK,2500,5,3,208,Kathmandu
Ready To Move,3 BHK,1250,3,,113.6,Kathmandu
Ready To Move,2 BHK,933,2,2,68.8,Lalitpur
Ready To Move,1 Bedroom,461.82,1,1,50.72,Lalitpur
Ready To Move,2 BHK,1262,2,1,120,Lalitpur
Ready To Move,2 BHK,915,2,2,76.8,Lalitpur
Ready To Move,3 BHK,1370,2,2,98.4,Bhaktapur
Ready To Move,2 BHK,1210,2,3,88,Lalitpur
Ready To Move,3 BHK,2392,4,2,416,Kathmandu
18-Feb,3 Bedroom,1500,2,0,136,Kathmandu
